frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.6971,0.8930,0.8641,0.5000,87.30,0.03913,0.12306,0.97741,0.39062,0.59350,0.33662,0.00000,1.50638,0.08535,0.06218
15,0.500,1,0.7495,1.0000,0.8344,0.3414,84.50,0.04230,0.24948,1.00000,0.34800,1.00000,0.41881,0.69759,-0.91759,0.00000,0.01402
30,1.000,1,0.7507,0.9969,0.8371,0.6650,85.88,0.04036,0.22537,1.00000,0.32944,1.00000,0.42322,0.39878,0.62481,0.00000,0.00885
45,1.500,1,0.8360,0.9969,0.9072,0.0424,67.70,0.02712,0.46830,0.23749,0.37214,1.00000,0.41776,0.95059,1.38560,0.06105,0.06229
60,2.000,1,0.7145,0.9602,0.8960,0.0078,57.41,0.01637,0.16717,0.93632,0.33407,0.74191,0.14993,0.89399,0.24905,0.00000,0.02931
75,2.500,1,0.9683,0.9972,1.0163,0.0000,69.53,0.01633,0.20716,0.90624,0.34618,0.79135,0.28301,0.35726,3.05890,0.39761,0.27078
90,3.000,1,0.8634,0.9694,1.0159,0.0085,82.89,0.01720,0.20801,1.00000,0.35920,1.00000,0.15517,0.35526,1.19636,0.02299,0.06684
105,3.500,1,0.7926,0.9970,0.8798,0.5854,62.13,0.01162,0.23683,0.51312,0.35364,1.00000,0.19247,0.30451,3.34648,0.45545,0.33966
120,4.000,1,0.9543,0.9972,1.0054,0.0529,67.58,0.01228,0.38246,0.83560,0.42041,1.00000,0.35682,0.34110,1.20493,0.02471,0.09073
135,4.500,1,0.9533,0.9972,1.0047,0.9942,44.34,0.01485,0.21851,0.88525,0.34245,1.00000,0.34026,0.23964,3.71577,0.52972,0.39034
150,5.000,1,0.7225,0.9968,0.8467,0.0000,43.55,0.01031,0.24745,0.25690,0.36376,1.00000,0.19180,0.44043,2.31289,0.24756,0.26890
165,5.500,1,0.8011,0.8388,1.0034,0.0000,1051.56,0.07378,0.24467,0.72164,0.22039,1.00000,0.75167,0.56066,3.50806,0.48794,0.44756
180,6.000,1,0.8075,0.8711,0.9816,0.7672,673.45,0.07332,0.20283,0.76902,0.21318,1.00000,0.71176,0.29026,4.77737,0.74324,0.60571
195,6.500,1,0.7626,0.9474,0.8871,0.4887,939.62,0.07923,0.12555,0.73345,0.18324,0.71741,0.89093,0.22852,5.96031,0.98117,0.78589
210,7.000,1,0.8145,0.9970,0.8969,0.7937,709.76,0.07628,0.19032,0.74209,0.21275,1.00000,0.85133,0.30892,5.31422,0.85122,0.71944
225,7.500,1,0.8325,0.9970,0.9108,0.5968,597.94,0.07248,0.25116,0.54804,0.24203,1.00000,0.89331,0.54000,4.47861,0.68315,0.65136
240,8.000,1,0.8265,0.9970,0.9062,0.7005,930.91,0.07254,0.25761,0.50887,0.24414,1.00000,0.91452,0.45700,5.58854,0.90639,0.72070
255,8.500,1,0.8365,0.9970,0.9139,0.9415,1105.25,0.07054,0.25210,0.46092,0.24898,1.00000,0.86931,0.31493,6.61714,1.00000,0.74899
270,9.000,1,0.7537,0.9969,0.8767,0.3143,549.15,0.06639,0.24889,0.80252,0.29126,1.00000,0.79993,0.57074,1.46299,0.07662,0.24649
285,9.500,1,0.7890,0.9911,0.8789,0.2836,617.25,0.09628,0.18627,0.88983,0.25383,0.69391,0.84178,0.60467,3.12830,0.41156,0.43956
300,10.000,1,0.7535,0.9200,0.8973,0.6540,471.84,0.08687,0.09136,0.46278,0.17488,0.58583,0.75331,0.42926,6.42847,1.00000,0.79972
315,10.500,1,0.7635,0.9357,0.8952,0.7419,694.97,0.08379,0.11088,0.46188,0.16622,0.72630,0.77561,0.46488,6.93236,1.00000,0.82102
330,11.000,1,0.8295,1.0000,0.9085,0.6529,644.81,0.08047,0.20422,0.56880,0.23934,1.00000,0.84374,0.53954,5.19961,0.82817,0.67527
345,11.500,1,0.9972,0.9972,1.0388,0.0178,1052.71,0.06847,0.39871,0.70624,0.35563,1.00000,0.70117,0.53602,3.70768,0.52810,0.46654
360,12.000,1,0.8385,0.9970,0.9155,0.0704,1007.07,0.07697,0.30639,1.00000,0.29457,1.00000,0.82709,0.44522,1.73417,0.13116,0.23081
375,12.500,1,0.9972,0.9972,1.0388,0.0704,31.04,0.01596,0.29119,0.18715,0.35457,1.00000,0.44034,0.62470,3.72854,0.53229,0.43439
390,13.000,1,0.9563,0.9972,1.0070,0.7603,121.46,0.04429,0.16428,1.00000,0.32100,0.60905,0.37155,0.83312,4.21802,0.63074,0.46807
405,13.500,1,0.8155,0.9970,0.8977,0.1757,150.85,0.04278,0.18900,1.00000,0.32591,0.81205,0.24422,0.20291,2.39593,0.26426,0.28899
420,14.000,1,0.8205,0.9970,0.9015,0.8099,48.75,0.03695,0.20741,0.72500,0.33729,1.00000,0.24308,0.30465,3.57311,0.50103,0.41723
