frame_idx,t_sec,paper_ratio,bright_mean,sat_mean,blur,edge_density,motion,skin,bottom_dark,composite,selected
0,0.000,0.8166,231.59,26.30,2622.55,0.1362,0.00000,0.39417,0.0053,2.6471,1
15,0.500,0.8003,236.24,31.39,2472.19,0.1649,0.10443,0.47326,0.0053,1.6833,1
30,1.000,0.8108,234.89,32.51,2525.15,0.1515,0.07915,0.48191,0.0016,1.6194,1
45,1.500,0.6060,219.54,53.68,1232.54,0.1839,0.14341,0.57801,0.1919,1.7735,0
60,2.000,0.7860,236.53,30.51,762.99,0.0903,0.13387,0.40223,0.0002,1.3290,0
75,2.500,0.8090,236.01,27.22,918.17,0.0811,0.03934,0.37749,0.0017,1.3034,0
90,3.000,0.8162,235.31,25.29,1047.77,0.0842,0.03893,0.35305,0.0027,1.3293,0
105,3.500,0.7890,234.93,30.94,835.76,0.1057,0.03549,0.38490,0.0317,1.5261,0
120,4.000,0.7801,233.65,32.72,616.78,0.1232,0.03910,0.41429,0.0499,1.5098,0
135,4.500,0.7678,233.41,32.84,742.38,0.1193,0.02933,0.43293,0.0313,1.7598,0
150,5.000,0.7465,225.29,33.08,724.93,0.1254,0.06716,0.43397,0.0477,1.4958,0
165,5.500,0.8252,226.55,26.70,12768.53,0.2803,0.10496,0.44451,0.0164,1.8500,1
180,6.000,0.8291,228.50,24.13,8615.12,0.2677,0.07756,0.49099,0.0096,1.8500,1
195,6.500,0.8359,227.66,22.41,12978.49,0.2720,0.07442,0.38325,0.0089,1.8500,1
210,7.000,0.8276,228.07,23.95,10267.63,0.2821,0.07842,0.40266,0.0427,1.8500,1
225,7.500,0.8066,226.62,27.95,9253.01,0.2974,0.09899,0.45968,0.0469,1.8500,1
240,8.000,0.8054,226.39,28.81,12547.14,0.3057,0.09296,0.45240,0.0479,1.8500,1
255,8.500,0.7904,224.81,27.90,13547.96,0.2838,0.08685,0.43012,0.0493,1.8500,1
270,9.000,0.7449,216.90,35.68,8550.30,0.2898,0.13064,0.49242,0.0673,1.8500,1
285,9.500,0.8216,225.05,26.30,10007.94,0.3556,0.12369,0.39686,0.0241,1.8500,1
300,10.000,0.8299,228.67,22.22,7441.44,0.3145,0.08840,0.34686,0.0062,1.8500,1
315,10.500,0.8275,227.59,22.26,9890.30,0.3168,0.09103,0.39938,0.0062,1.8500,1
330,11.000,0.8014,228.50,27.98,8821.73,0.3332,0.09615,0.43610,0.0598,1.8500,1
345,11.500,0.7751,226.25,34.33,9902.16,0.3607,0.10172,0.50926,0.0390,1.8500,1
360,12.000,0.7424,222.22,35.19,11675.43,0.3460,0.09247,0.52286,0.0808,1.8500,1
375,12.500,0.6601,212.16,40.98,702.90,0.1754,0.14421,0.47386,0.0716,1.7334,0
390,13.000,0.8185,228.75,23.53,2554.30,0.1313,0.17274,0.34731,0.0062,1.5236,0
405,13.500,0.8223,229.40,23.30,2591.75,0.1275,0.04205,0.34933,0.0055,1.5054,0
420,14.000,0.8228,230.84,23.93,1506.19,0.1099,0.05552,0.36551,0.0033,1.4220,0
